,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2020-05-26,657.35800544,658.06159617,642.90035087,646.41830449,33773511.08403201,2015.0,2024.0,1925.0,1943.0,4575512.0,428.5,435.875,424.375,426.2,38005178.0
2020-05-27,649.57311452,660.01349302,640.94845402,656.17778874,36262820.54722382,1959.0,2010.0,1941.25,2005.3,3482185.0,429.95,454.9,428.575,451.825,56026454.0
2020-05-28,660.46742252,671.70217764,657.74384552,668.29770639,40797639.27997606,1988.5,2014.0,1971.3,2004.3,3475788.0,460.0,475.0,456.975,472.625,75489852.0
2020-05-29,666.36850602,668.18422402,659.40068819,664.73435982,40693037.1336101,1982.0,2002.65,1962.4,1972.35,7237765.0,472.0,477.5,461.725,475.825,53025200.0
2020-06-01,671.81566002,698.30244634,669.97724554,690.13171534,40609973.57418279,1990.0,2060.0,1981.1,2045.25,3747850.0,487.5,497.5,483.05,493.825,39190746.0
2020-06-02,692.69641702,699.05143002,690.33598362,697.09953317,22523546.0567026,2060.2,2081.0,2040.05,2047.15,2443886.0,493.35,502.5,487.6,500.5,41623818.0
2020-06-03,701.32107752,708.13002002,696.03279884,699.80041369,25805033.60039163,2051.8501,2063.75,2020.0,2046.15,3699799.0,510.0,523.125,507.725,511.125,50546134.0
2020-06-04,700.86714802,721.52094027,699.50535952,717.11782412,34773267.65413535,2046.75,2100.0,2046.75,2091.55,4048593.0,514.025,519.475,495.55,500.85,54278956.0
2020-06-05,724.01755252,734.45793102,714.34885417,717.98029017,33640543.29939034,2091.6001,2098.0,2040.3,2048.25,3573299.0,501.55,521.2,501.4,516.675,35196206.0
2020-06-08,734.63950282,734.63950282,710.39966752,712.44235027,31939001.54019467,2078.25,2095.0,2062.1001,2071.75,2957841.0,530.0,533.325,503.2,507.95,49812724.0
2020-06-09,708.26619887,718.57039852,695.87392352,697.75773094,26290586.97375583,2063.1001,2095.5,2060.25,2072.05,2910152.0,510.0,513.375,489.775,493.65,61845788.0
2020-06-10,700.45861147,717.00434174,699.07412649,713.64526344,22502229.97127576,2077.05,2132.0,2073.5,2108.75,5168494.0,495.0,499.925,489.1,495.925,36497760.0
2020-06-11,710.85359702,711.73875954,694.96606452,698.00739217,20726308.8205685,2100.0,2105.0,2061.8,2067.6499,2269569.0,492.5,494.2,482.5,484.3,30898284.0
2020-06-12,680.89425002,723.10969352,679.53246152,721.20318962,39192352.55597619,2011.2,2049.2,2011.0,2039.5,2842757.0,464.0,493.325,464.0,491.375,42645760.0
2020-06-15,710.39966752,738.52060004,708.62934247,732.89187424,53993322.75031932,2039.1,2059.0,2000.95,2029.9,2399028.0,484.0,487.0,471.5,474.925,32009946.0
2020-06-16,745.80616852,748.32547724,719.61443637,734.32175217,52041779.61426406,2065.0,2073.95,2031.0,2045.8,2146528.0,487.5,496.975,476.0,495.2,45400226.0
2020-06-17,730.03211839,742.37900079,727.24045197,733.25501784,42479105.23444924,2046.0,2058.8501,2026.55,2047.8,2703546.0,494.5,499.45,486.625,489.625,36959008.0
2020-06-18,729.46470652,755.79261752,728.82920522,751.66185907,41146684.67137728,2045.0,2059.2,2025.2,2038.1,1944471.0,490.0,512.45,486.0,509.975,40870938.0
2020-06-19,758.06226502,811.98908962,754.43082902,798.64356232,107569241.4764558,2042.0,2090.0,2032.0,2044.6,5681784.0,508.975,521.5,506.075,516.675,47878648.0
2020-06-22,804.99857532,818.97960392,787.56768252,792.62899644,61202834.35932178,2050.0,2052.25,2019.15,2027.95,3196138.0,519.725,522.975,511.9,514.375,29694642.0
2020-06-23,794.37662502,800.61815564,778.98841497,781.16727657,38598936.61805343,2027.0,2044.0,2010.0,2035.3,4206122.0,519.5,522.5,508.275,521.15,28831280.0
2020-06-24,787.97621907,804.68082467,776.99112517,784.32208659,52449827.56002526,2034.0,2064.25,2031.6,2042.2,2560951.0,524.25,528.75,515.025,516.25,39429328.0
2020-06-25,783.93624652,793.92269552,777.60392999,779.80548807,40342619.28238862,2035.0,2060.0,2009.25,2016.1,3044089.0,510.95,524.5,503.5,514.375,70646914.0
2020-06-26,784.75331962,795.28448402,779.39695152,790.58631369,31438130.81028099,2025.0,2132.0,2019.95,2118.8501,6300912.0,520.5,531.5,514.0,528.225,39973354.0
2020-06-29,784.41287249,789.72384764,778.73875374,782.18861794,26050578.33805956,2108.0,2127.6001,2091.3,2101.6499,3076344.0,518.5,541.3,518.5,538.025,46007450.0
2020-06-30,788.47554152,790.29125952,769.66016374,773.54126097,30782396.82517404,2100.0,2111.8999,2075.05,2082.1499,3071877.0,537.0,539.275,528.15,532.925,35746632.0
2020-07-01,780.75874002,793.92269552,775.33428249,788.74789922,28939969.7522933,2079.7,2113.95,2079.5,2092.05,2503466.0,532.925,548.0,530.65,542.3,34846756.0
